>>> LU function complexity measurements
size	time
1	0.000006
2	0.000004
3	0.000004
4	0.000005
5	0.000004
6	0.000005
7	0.000005
8	0.000005
9	0.000005
10	0.000006
20	0.000017
30	0.000048
40	0.000102
50	0.000213
60	0.000355
70	0.000491
80	0.000769
90	0.001122
100	0.001645
200	0.013489
300	0.039331
400	0.059162
500	0.106773
600	0.249802
700	0.305730
800	0.530765
900	0.670389
1000	0.906783
2000	7.353386
3000	28.317529
4000	59.046532
5000	123.121526
>>> Solve function complexity measurements
size	time
1	0.000003
2	0.000003
3	0.000002
4	0.000002
5	0.000003
6	0.000003
7	0.000003
8	0.000003
9	0.000003
10	0.000003
20	0.000004
30	0.000006
40	0.000008
50	0.000011
60	0.000015
70	0.000019
80	0.000024
90	0.000030
100	0.000038
200	0.000134
300	0.000301
400	0.000588
500	0.000929
600	0.001228
700	0.001790
800	0.002220
900	0.003119
1000	0.003564
2000	0.015578
3000	0.033357
4000	0.077694
5000	0.107100
>>> Cholesky algorithm complexity measurements
size	time
1	0.000003
2	0.000002
3	0.000003
4	0.000002
5	0.000003
6	0.000003
7	0.000003
8	0.000003
9	0.000003
10	0.000003
20	0.000008
30	0.000018
40	0.000036
50	0.000065
60	0.000105
70	0.000160
80	0.000231
90	0.000318
100	0.000425
200	0.002982
300	0.009678
400	0.021427
500	0.039473
600	0.067458
700	0.106039
800	0.159150
900	0.222577
1000	0.308784
2000	3.152055
3000	10.541351
4000	30.037888
5000	55.228225
